src,dst,edge_type,weight,confidence,evidence_id,project_id,time
project::P_002,action::100::these measures will be describ,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::100::these measures will be describ,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::101::in general the governance and,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::101::in general the governance and,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::102::the tsg will be a database of,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::103::while ccardesa will be active,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::104::ccardesa will work closely wit,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::104::ccardesa will work closely wit,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::105::linkages between ccardesa and,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::106::further work will take place i,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::107::asareca’s experience in develo,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::108::the ccardesa m&e system will e,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::109::ccardesa's m&e system will als,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::10::the sadc region’s research age,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::110::ccardesa's m&e system will als,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::110::ccardesa's m&e system will als,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::111::in the case of the latter in p,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::111::in the case of the latter in p,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::112::in line with the above, the m&",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::113::the m&e system will 22 identif,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::113::the m&e system will 22 identif,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::114::data will be disaggregated in,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::115::baseline studies will also be,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::115::baseline studies will also be,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::116::depending on the nature of the,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::117::depending on the nature of the,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::118::the ccardesa secretariat will,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::118::the ccardesa secretariat will,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::119::the m&e unit at ccar desa will,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::119::the m&e unit at ccar desa will,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::11::5 concrete actions.,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::120::at specific points in time, pu",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::120::at specific points in time, pu",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::121::an in depth mtr and mtop revie,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::122::as a n sro supporting the gene,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::123::as a result, ccardesa’s long t",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::124::a strong m& e system will help,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::125::this will be a key ingredient,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::126::for example, ccardesa is curre",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::127::key risks and mitigation measu,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::128::mitigation measures have been,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::129::strong consultative processes,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::129::strong consultative processes,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::12::the establishment of ccardesa,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::130::consultation and accountabilit,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::131::to mitigate the risk of delay,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::132::mitigation measures to monitor,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::133::to address the risk of sustain,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::134::the mdtf’s support to ccardesa,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::134::the mdtf’s support to ccardesa,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::135::a summary of the risks and ris,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::136::although ccardesa supported ac,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::137::lopment livestock conduct stud,ASSOCIATED_WITH,1.0,0.65,,P_002,2014-06
project::P_002,action::138::without collaborative public f,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::139::continued stakeholder validati,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::13::ccardesa will contribute to th,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::140::proposals for funding in these,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::141::ccardesa will build on ongoing,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::142::ccardesa will be actively enga,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::143::dialogue around r&d issues , w",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::144::ccardesa will also participate,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::145::the rap is an extensive region,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::146::ccardesa sub -grants will incl,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::147::the accounting and reporting f,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::148::the project will report on the,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::149::audited annual financial state,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::14::ccardesa will contribute to th,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::150::disbursements to the project w,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::150::disbursements to the project w,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::151::for the small sub -grants, cca",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::152::these mechanisms will be detai,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::153::the grants will be subject to,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::154::fiduciary supervision and fund,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::154::fiduciary supervision and fund,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::155::project procurement will follo,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::156::project procurement will follo,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,"action::157::further, the world bank’s “gui",ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::158::during the november 2013 visit,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::159::the procurement officer who ca,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::15::this will be done by scaling u,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::160::risk mitigation measures were,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::161::the procurement risk rating fo,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::162::dated covenants tied to the re,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::163::implementation of the activiti,ASSOCIATED_WITH,1.0,0.65,,P_002,2014-06
project::P_002,action::164::proposals for sub-grant fundin,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::165::given the importance of women,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::166::ccardesa will also systematica,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::167::ccardesa will also systematica,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::168::ccardesa will report on progre,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::169::the mtop will also contribute,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::16::the proposed mdtf is part of a,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::170::the proposed mdtf is rated cat,ASSOCIATED_WITH,1.0,0.65,,P_002,2014-06
project::P_002,action::171::because specific environmental,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
project::P_002,action::172::the esmps and ipmps will be us,ASSOCIATED_WITH,1.0,0.55,,P_002,2014-06
